regid,geom
6475d3c3-d3c7-4b4b-8d48-3c28bb690310,"{""type"": ""Point"", ""coordinates"": [-74.03767383657397, 40.634427879728946]}"
5522fe93-1e87-45ee-8be9-157e9bb29e75,"{""type"": ""Polygon"", ""coordinates"": [[[-73.99076644331218, 40.734723736055095], [-73.99145241826773, 40.731785403368626], [-73.99157450068742, 40.7315843757036], [-73.99563842453064, 40.72679703841331], [-74.00184317026289, 40.719455535777506]]]}"
6df2a69c-a0eb-456e-ba7b-f91754ee9a5a,"{""type"": ""Point"", ""coordinates"": [-74.20796334743501, 40.54172151146236]}"
c83c66cc-acaa-44d9-a6e4-adee3730662b,"{""type"": ""Point"", ""coordinates"": [-74.14427161216737, 40.63108198364487]}"
aa0f6f2c-21dc-4b37-bdc0-214b171e3e39,"{""type"": ""Point"", ""coordinates"": [-73.88974070549013, 40.736356252867054]}"
f80b5c01-e142-4583-a1ca-f156b65d706a,"{""type"": ""Point"", ""coordinates"": [-73.9785390906036, 40.57429620615715]}"
80bf0da8-71bd-4f9b-97d5-b95196281d00,"{""type"": ""Point"", ""coordinates"": [-74.01186168193819, 40.70137006575564]}"
f5e517be-bea4-443f-9d81-9cc526ae79f2,"{""type"": ""Point"", ""coordinates"": [-73.85539770126344, 40.758346865597936]}"
3ba6c26d-fed8-4606-bee9-c79c81f63b13,"{""type"": ""LineString"", ""coordinates"": [[-73.78077864646913, 40.736177404550915], [-73.77830028533937, 40.73680337155386]]}"
de3d682b-da3c-458d-8b87-5d99fbace83c,"{""type"": ""Point"", ""coordinates"": [-73.76236796379091, 40.691303812271705]}"
35c50083-2ba6-424a-9dc8-220711ddd4e5,"{""type"": ""Point"", ""coordinates"": [-73.91057589557023, 40.68299026944978]}"
9ffd032d-acee-4680-948f-ed8f8253c749,"{""type"": ""Point"", ""coordinates"": [-73.864738997072, 40.8226969748276]}"
5f494c37-40b5-4216-b3dd-18b12f6b982e,"{""type"": ""Point"", ""coordinates"": [-73.86097669601442, 40.83317662936848]}"
21117eb2-e9e9-4e34-9b52-fa7a52417c76,"{""type"": ""Point"", ""coordinates"": [-73.85242581367494, 40.82237932217807]}"
9c5e76e4-f9c5-4b5a-a307-656c9260e18d,"{""type"": ""Point"", ""coordinates"": [-73.93031179904939, 40.76596933895657]}"
1741961e-2633-40e4-8b47-3677ec22c286,"{""type"": ""Point"", ""coordinates"": [-73.98523807525636, 40.594622992254486]}"
af76f704-2e5f-4744-a9e3-71beeaf03bec,"{""type"": ""LineString"", ""coordinates"": [[-73.9938037097454, 40.601931693679965], [-73.99736652150752, 40.59855565775421]]}"
b4e6e9a8-0859-4a3f-84d9-89cd69c2fe86,"{""type"": ""Point"", ""coordinates"": [-73.8669274072163, 40.66823576110417]}"
16c5db98-748f-4a31-87ae-f73d5ce69f7c,"{""type"": ""LineString"", ""coordinates"": [[-73.90107035636903, 40.74585891047171], [-73.90662789344789, 40.745387467593716]]}"
0303f801-c005-46d6-b850-a735e773a357,"{""type"": ""Point"", ""coordinates"": [-73.93475890159608, 40.777555774094274]}"
38d778b7-8185-4f07-bfa2-50fd289234ef,"{""type"": ""LineString"", ""coordinates"": [[-73.85626673698427, 40.809213159320315], [-73.85680317878725, 40.811340708909874]]}"
035d64be-3e0e-40e5-886f-30d41c785731,"{""type"": ""Polygon"", ""coordinates"": [[[-74.01570130605252, 40.711813975070264], [-74.01625363156201, 40.710462353476196], [-74.01645224075766, 40.709884966626255], [-74.01672394014896, 40.70941380889353], [-74.01720304973425, 40.7087519395851], [-74.0177902020514, 40.70794309929152]]]}"
